"Agrupacion","Total Votos"
"FRENTE DE TODOS",466622
"JUNTOS POR EL CAMBIO",1068330
"CONSENSO FEDERAL",120117
"FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",88516
"UNITE POR LA LIBERTAD Y LA DIGNIDAD",37801
"FRENTE NOS",13863
"AUTODETERMINACION Y LIBERTAD",24685
"BLANCO",50723
